Vrijeme,Vlažnost (%),Temperatura (°C),Tlak (hPa),Prosječna Vlažnost (%),Prosječna Temperatura (°C),Prosječni Tlak (hPa)
10:40:09,46.1,30.4,1013.22,,,
10:45:09,46.3,30.4,1013.29,,,
10:50:10,45.9,30.4,1013.28,,,
10:55:10,46.1,30.4,1013.28,45.9,30.44,1013.25
11:00:10,46.3,30.4,1013.24,,,
11:05:10,46.3,30.3,1013.26,,,
11:10:11,46.3,30.3,1013.26,,,
11:15:11,46.5,30.3,1013.28,,,
11:20:11,46.4,30.3,1013.3,46.23,30.36,1013.25
11:25:11,46.0,30.3,1013.27,,,
11:30:11,45.7,30.2,1013.31,,,
11:35:12,45.9,30.2,1013.3,,,
11:40:12,46.2,30.1,1013.34,,,
11:45:12,46.4,30.1,1013.31,46.2,30.25,1013.28
11:50:12,46.7,30.1,1013.26,,,
11:55:13,46.7,30.0,1013.16,,,
12:00:13,46.8,30.0,1013.22,,,
12:05:13,47.1,30.0,1013.13,,,
12:10:13,47.0,30.0,1013.07,46.45,30.1,1013.26
12:15:13,47.0,30.0,1013.09,,,
12:20:14,47.2,29.9,1013.0,,,
12:25:14,47.1,29.9,1013.02,,,
12:30:14,47.1,29.9,1012.97,,,
12:35:14,46.9,29.9,1012.9,46.96,29.97,1013.12
12:40:15,46.7,29.9,1012.86,,,
12:45:15,46.7,29.9,1012.79,,,
12:50:15,47.3,29.9,1012.81,,,
12:55:15,47.4,29.9,1012.81,,,
13:00:15,47.6,29.9,1012.78,47.1,29.91,1012.93
13:05:16,47.8,29.9,1012.78,,,
13:10:16,48.1,29.9,1012.72,,,
13:15:16,48.4,30.0,1012.75,,,
13:20:16,47.9,29.9,1012.72,,,
13:25:17,48.5,29.9,1012.7,47.64,29.91,1012.79
13:30:17,48.1,29.9,1012.69,,,
13:35:17,48.2,29.9,1012.65,,,
13:40:17,48.1,29.9,1012.61,,,
13:45:17,48.8,29.9,1012.51,,,
13:50:18,48.6,29.9,1012.52,48.25,29.91,1012.69
13:55:18,49.1,29.9,1012.46,,,
